,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,BEIDOU 3 (C01),-1.2788089233589162,140.4936552085999,35803471.50168778,42181608.50168778
1,BEIDOU 5 (C06),46.65995306786848,100.39986627871316,36278223.43632479,42656360.43632479
2,BEIDOU 6 (C04),-0.7779396756744179,160.12211908019296,35794142.2203473,42172279.2203473
3,BEIDOU 7 (C07),-34.44975085659526,130.88992251766936,35824418.19780355,42202555.19780355
4,BEIDOU 8 (C08),-7.646758336226906,113.33533187145626,35564881.14672952,41943018.14672952
5,BEIDOU 9 (C09),31.48614255185214,78.92918560632617,36145190.90366314,42523327.90366314
6,BEIDOU 10 (C10),-45.92906356941135,107.50959542140978,35721927.79452377,42100064.79452377
7,BEIDOU 11 (C05),1.490101642930285,58.86672279685756,35806573.31741572,42184710.31741572
8,BEIDOU 12 (C11),-43.60141338510218,-163.21010969689394,21514002.690689415,27892139.690689415
9,BEIDOU 13 (C12),-9.355060508035258,-131.49845279394654,21538328.750588775,27916465.750588775
10,BEIDOU 15 (C14),-4.91953392574417,177.15174177868434,21559314.437716953,27937451.437716953
11,BEIDOU 16 (C02),0.9707913039792719,84.04076493160235,35829993.35221793,42208130.35221793
12,BEIDOU 17 (C31),-52.26734517794543,90.75487803585627,35771981.56904258,42150118.56904258
13,BEIDOU 18 (C57),-54.30677805470843,123.81582017327611,21556367.90254172,27934504.90254172
14,BEIDOU 19 (C58),27.9429683565739,-105.25758738609794,21525774.88256982,27903911.88256982
15,BEIDOU 20 (C18),-39.641330736384546,110.67257604334694,35875191.78894912,42253328.78894912
16,BEIDOU IGSO-6 (C13),11.452581974248405,100.20011780426346,35674377.43736427,42052514.43736427
17,BEIDOU-2 G7 (C03),0.29812301641459826,110.51654283803917,35817373.51646074,42195510.51646074
18,BEIDOU-3 M1 (C19),-14.693511020258573,-16.706447128867758,21512067.296868578,27890204.296868578
19,BEIDOU-3 M2 (C20),20.785258615432564,8.876748006894372,21518977.050299134,27897114.050299134
20,BEIDOU-3 M3 (C27),-9.399213779933877,61.37816360498703,21539038.525843635,27917175.525843635
21,BEIDOU-3 M4 (C28),-43.404755294029606,95.52757689705534,21536467.270523746,27914604.270523746
22,BEIDOU-3 M5 (C21),-47.416470917070434,-54.788787845756985,21530688.890328303,27908825.890328303
23,BEIDOU-3 M6 (C22),-51.47135159565862,-126.19454416321996,21533665.03543203,27911802.03543203
24,BEIDOU-3 M7 (C29),53.69278318183527,-17.57874643198009,21532276.90619015,27910413.90619015
25,BEIDOU-3 M8 (C30),25.96814631867441,32.966029072425286,21535901.83489734,27914038.83489734
26,BEIDOU IGSO-7 (C16),45.96978225075377,96.15900943076318,35953165.23756078,42331302.23756078
27,BEIDOU-3 M9 (C23),-1.6318105622453496,113.15221017529016,21529442.628390603,27907579.628390603
28,BEIDOU-3 M10 (C24),54.39037014598334,-156.7565070953705,21542880.70237907,27921017.70237907
29,BEIDOU-3 M11 (C25),37.549659923068305,-100.39208296217855,21545379.730955195,27923516.730955195
30,BEIDOU-3 M12 (C26),32.97868627482043,140.47108436682765,21526672.422522895,27904809.422522895
31,BEIDOU-3 M13 (C32),51.526770393306336,53.69566871834658,21549126.560887996,27927263.560887996
32,BEIDOU-3 M14 (C33),14.562136681483844,163.0458678584453,21541940.776930198,27920077.776930198
33,BEIDOU-3 M15 (C34),43.88816766181106,-85.31729403446425,21522301.841117337,27900438.841117337
34,BEIDOU-3 M16 (C35),-27.52143445646767,-148.3972064126319,21530563.75428957,27908700.75428957
35,BEIDOU-3 G1 (C59),0.7238390832507351,139.89234016885777,35775907.93783218,42154044.93783218
36,BEIDOU-3 M17 (C36),-33.59110733560129,-37.511535666929795,21515440.145530414,27893577.145530414
37,BEIDOU-3 M18 (C37),-35.99375318417759,82.9398493306805,21515424.96771356,27893561.96771356
38,BEIDOU-3 IGSO-1 (C38),-5.058544686010161,111.2488956011988,35703695.51679562,42081832.51679562
39,BEIDOU-2 G8,-0.2582364719854494,144.54364920382278,35779746.94455076,42157883.94455076
40,BEIDOU-3 IGSO-2 (C39),46.04242120277464,92.25818960033524,35850171.00221315,42228308.00221315
41,BEIDOU-3 M23 (C45),-54.5547777808927,18.318579003297227,21532184.36286127,27910321.36286127
42,BEIDOU-3 M24 (C46),2.0330603373161718,-67.2055175914823,21537395.030706957,27915532.030706957
43,BEIDOU-3 IGSO-3,-50.12712577499904,122.24851762963699,35811825.16381563,42189962.16381563
44,BEIDOU-3 M21,9.691349262419662,-120.29558879615747,21511346.441862304,27889483.441862304
45,BEIDOU-3 M22,-53.04757088759488,164.6216952665645,21548490.624941755,27926627.624941755
46,BEIDOU-3 M19,46.889326443201554,125.94671996700971,21574160.76272897,27952297.76272897
47,BEIDOU-3 M20,-22.151387366343513,-169.99561514765372,21525072.657448776,27903209.657448776
48,BEIDOU-3 G2,-1.8058933229542213,80.06581710270721,35784537.086375445,42162674.086375445
49,BEIDOU-3 G3,-1.8654951319333055,110.52445894904746,35763515.64680616,42141652.64680616
