,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,COSMOS 2425 (716),50.720259381154605,160.24714250066918,19123438.517237205,25501575.517237205
1,COSMOS 2433 (720),-44.23301040920329,92.106371453876,19142209.9374649,25520346.9374649
2,COSMOS 2432 (719),1.0719726802146363,66.15265443984671,19149560.805742443,25527697.805742443
3,COSMOS 2434 (721),52.740741173452605,-95.26977698082999,19134549.00204468,25512686.00204468
4,COSMOS 2436 (723),-60.20697736649589,0.19726593430471825,19156627.719358858,25534764.719358858
5,COSMOS 2456 (730),-59.01132997435208,-49.78936734919749,19141427.15192082,25519564.15192082
6,COSMOS 2457 (733),45.912203043018415,32.92409776138864,19141694.39879668,25519831.39879668
7,COSMOS 2459 (731),65.92829387568347,-28.813105899083602,19147173.18044003,25525310.18044003
8,COSMOS 2461 (735),65.88474663744633,-30.074651303471104,19126450.658310704,25504587.658310704
9,COSMOS 2460 (732),29.689118916147,-99.90363969347487,19129868.844833124,25508005.844833124
10,COSMOS 2464 (736),-19.25964768808283,113.08091389014169,19075343.992230225,25453480.992230225
11,COSMOS 2471 (701K),5.8080791271748335,62.69668827369456,19109044.256873056,25487181.256873056
12,COSMOS 2476 (744),-9.674740349978256,-170.83535346240785,19096574.441895686,25474711.441895686
13,COSMOS 2477 (745),8.396946716687589,8.600998235909834,19159723.09385401,25537860.09385401
14,COSMOS 2475 (743),-29.417448066379368,-10.892357979664471,19117303.15929515,25495440.15929515
15,COSMOS 2485 (747),-48.131468166812674,-143.45613489248925,19092297.664383087,25470434.664383087
16,COSMOS 2492 (754),-65.85730014593145,155.05319876987025,19140836.746388596,25518973.746388596
17,COSMOS 2500 (755),44.70485568968772,38.56670423132867,19124843.982512183,25502980.982512183
18,COSMOS 2501 (702K),-53.551487102952976,81.8270994172537,19144670.43326188,25522807.43326188
19,COSMOS 2514 (751),-41.85922358868436,-139.23143136704786,19154684.040852513,25532821.040852513
20,COSMOS 2516 (753),-25.954756709773477,-42.42903071592621,19097997.22486914,25476134.22486914
21,COSMOS 2522 (752),58.48015568184681,176.04211198374546,19163712.770405605,25541849.770405605
22,COSMOS 2527 (756),61.87539691656727,123.96285676400814,19154000.077189416,25532137.077189416
23,COSMOS 2529 (757),24.061036482130557,136.69840556745316,19146830.543688882,25524967.543688882
24,COSMOS 2534 (758),16.71203940862257,-63.99466602010672,19148586.66409008,25526723.66409008
25,COSMOS 2544 (759),29.63443132786995,169.27025458664374,19146307.376669865,25524444.376669865
26,COSMOS 2545 (760),-2.657240919657535,-115.62703774517144,19139930.644544773,25518067.644544773
