,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,GPS BIIR-2  (PRN 13),15.068211316194473,-151.28767605176373,20223430.839632563,26601567.839632563
1,GPS BIIR-4  (PRN 20),-48.26050768538214,-161.73909733,20160509.588132236,26538646.588132236
2,GPS BIIR-8  (PRN 16),-37.462077707884745,8.38746747018885,20510700.711373802,26888837.711373802
3,GPS BIIR-9  (PRN 21),54.394435832114034,-13.632725082690076,20725237.663119923,27103374.663119923
4,GPS BIIR-10 (PRN 22),19.44934762783889,-18.96414708048638,20142398.771064248,26520535.771064248
5,GPS BIIR-11 (PRN 19),20.69359430530034,-127.51503639500821,20158092.804164488,26536229.804164488
6,GPS BIIR-13 (PRN 02),-45.01564750213699,-136.46212268421874,19710880.308937177,26089017.308937177
7,GPS BIIRM-1 (PRN 17),40.23847317165882,-110.37258451687362,20463000.61797507,26841137.61797507
8,GPS BIIRM-2 (PRN 31),-30.340248335700704,68.81701579162792,20027889.478463676,26406026.478463676
9,GPS BIIRM-3 (PRN 12),1.5510944994652247,156.96592523349307,20101287.99718076,26479424.99718076
10,GPS BIIRM-4 (PRN 15),26.943171676179354,-177.2567005742413,20168692.72741894,26546829.72741894
11,GPS BIIRM-5 (PRN 29),-56.391479249933404,127.82189545616582,20236800.217931416,26614937.217931416
12,GPS BIIRM-6 (PRN 07),-17.54927615541959,-74.74510819436881,19819740.55810628,26197877.55810628
13,GPS BIIRM-8 (PRN 05),-27.121427523295868,170.7662411403525,20336584.269222207,26714721.269222207
14,GPS BIIF-1  (PRN 25),-19.806743837316876,137.07536249335763,20136384.186746333,26514521.186746333
15,GPS BIIF-2  (PRN 01),46.24802646572352,-43.79221647911159,19903206.04670448,26281343.04670448
16,GPS BIIF-3  (PRN 24),50.795857022780524,152.42637106378916,19938031.72199449,26316168.72199449
17,GPS BIIF-4  (PRN 27),6.624206201571831,27.255784519841438,20360589.40565848,26738726.40565848
18,GPS BIIF-5  (PRN 30),8.167262780837248,-92.90171833233101,20063677.295490976,26441814.295490976
19,GPS BIIF-6  (PRN 06),-26.05272660678876,-107.00037704859619,20132978.911696818,26511115.911696818
20,GPS BIIF-7  (PRN 09),-54.532967922409064,-65.43622737615522,20247175.36224508,26625312.36224508
21,GPS BIIF-8  (PRN 03),2.057802777062438,-26.761075045291825,20116420.84050928,26494557.84050928
22,GPS BIIF-9  (PRN 26),-52.56927551022239,41.088933926280134,20268946.003954414,26647083.003954414
23,GPS BIIF-10 (PRN 08),27.921080061576784,9.332365367414386,20319835.061286453,26697972.061286453
24,GPS BIIF-11 (PRN 10),51.83469613889607,91.21759014171424,20239725.117902514,26617862.117902514
25,GPS BIIF-12 (PRN 32),33.94430997928375,59.589764223270095,20323410.838803586,26701547.838803586
26,GPS BIII-1  (PRN 04),-47.594359031638696,-16.079109089932253,20204172.415401056,26582309.415401056
27,GPS BIII-2  (PRN 18),-12.99070758589866,102.12362822380754,20142564.395828,26520701.395828
28,GPS BIII-3  (PRN 23),33.2115473287535,123.40080026079558,20151422.27953096,26529559.27953096
29,GPS BIII-4  (PRN 14),51.59787225207955,-88.43584781685996,20183951.454900153,26562088.454900153
