,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,TDRS 3,13.911409758778728,-48.81346103670262,35860023.674974225,42238160.674974225
1,FLTSATCOM 8 (USA 46),-3.9881387419916368,71.54003216445244,35785851.059713736,42163988.059713736
2,SKYNET 4C,4.754934835377292,34.339530164100516,35775324.83280232,42153461.83280232
3,TDRS 5,-10.301808251661384,-166.96867828291153,35732205.50985063,42110342.50985063
4,TDRS 6,13.411952598218111,-46.67378870902517,35756983.864359014,42135120.864359014
5,UFO 2 (USA 95),6.633228603827654,29.190087886691398,35772631.82049985,42150768.82049985
6,USA 99 (MILSTAR-1 1),-2.0517895423870476,-89.77213635944723,35786906.76929364,42165043.76929364
7,ASTRA 1D,2.5957329194427374,-73.2956592460113,35784746.28279629,42162883.28279629
8,USA 107 (DSP 17),5.8168199076730005,-97.15834713831175,35786424.135761686,42164561.135761686
9,UFO 4 (USA 108),-9.655121993125753,172.5593184010932,35817512.61691554,42195649.61691554
10,AMSC 1,-1.4904707323383648,-107.40243167382799,35783002.22485004,42161139.22485004
11,TDRS 7,-7.45022295281876,83.90982417537455,35901933.58236002,42280070.58236002
12,USA 113,-4.990439560107061,103.32652589533888,35789770.207030736,42167907.207030736
13,USA 115 (MILSTAR-1 2),-1.8905647661944625,-119.80741784412152,35794883.51546109,42173020.51546109
14,INMARSAT 3-F1,-3.172817719838489,-95.56202725966166,35870039.90477265,42248176.90477265
15,INMARSAT 3-F2,-2.4104247268111987,145.11231287433185,35899924.43055478,42278061.43055478
16,AMC-1 (GE-1),-4.804660218934649,-130.87520046415372,35795645.19761417,42173782.19761417
17,INMARSAT 3-F3,6.488784236028314,25.171174667709185,35837334.437258646,42215471.437258646
18,INTELSAT 26 (IS-26),4.200841576229309,66.4774629802623,35786346.04009886,42164483.04009886
19,GALAXY 25 (G-25),2.8397997397634596,32.894128242190234,35773502.29108609,42151639.29108609
20,INTELSAT 5 (IS-5),-6.254591013593979,-136.92865291121757,35793761.40807399,42171898.40807399
21,AMC-3 (GE-3),-1.6604729272322094,-71.95005515519578,35784030.23137911,42162167.23137911
22,NSS-5,6.048948216464973,50.70504616664157,35776044.97370157,42154181.97370157
23,USA 134,-3.1862197149145914,-112.147293922466,35774233.29764606,42152370.29764606
24,ASTRA 1G,5.420739427185637,19.344899856487576,35769135.04779752,42147272.04779752
25,INMARSAT 3-F5,0.6504214677667648,-54.039424566624376,35777888.05437693,42156025.05437693
26,UFO 8 (USA 138),-9.105206168683853,171.60385714622393,35803232.54612829,42181369.54612829
27,ASTRA 2A,2.451449111925064,27.93275275395775,35778292.30800798,42156429.30800798
28,JCSAT-4A,-1.2741642986431818,136.01829040527417,35768637.257927865,42146774.257927865
29,SKYNET 4E,10.514447234764585,-0.8936336785433368,35775619.82717657,42153756.82717657
30,ASIASAT 3S,-2.562904609210388,147.8159842709964,35803206.70823321,42181343.70823321
31,NIMIQ 1,-1.5858741425252094,-86.58719782955848,35786610.03225688,42164747.03225688
32,ABS-7,1.8936065734942222,33.35413294337693,35773605.663073234,42151742.663073234
33,ABS-6,-0.027132209289138412,159.0103068364772,35799343.801155284,42177480.801155284
34,AMC-4 (GE-4),-0.7431927368415184,-134.90891599028387,35796181.925279975,42174318.925279975
35,UFO 10 (USA 146),7.894537416908893,-23.182920276501854,35763663.19841032,42141800.19841032
36,GALAXY 11 (G-11),-1.8633822920087888,-93.06873014669652,35785819.46074006,42163956.46074006
37,USA 148,-9.023176045725554,-179.6984313067723,35794629.408817306,42172766.408817306
38,ASIASTAR,1.7708242505228762,105.12650653845712,35788024.27304814,42166161.27304814
39,USA 149 (DSP 20),-10.327067502673154,-165.04337556888606,35788899.699516125,42167036.699516125
40,EUTELSAT 80A,2.6814145440532955,-12.617331629544575,35787078.97029864,42165215.97029864
41,TDRS 8,1.2775719126822296,88.90037225417676,35862441.49860899,42240578.49860899
42,INTELSAT 9 (IS-9),1.7090063296318492,-50.11709214530681,35781742.39567666,42159879.39567666
43,NSS-11 (AAP-1),-0.0027521654268671193,175.9931535964896,35797145.804564394,42175282.804564394
44,USA 153,-4.9516966748607,134.11135163518335,35790058.80214889,42168195.80214889
45,AMC-6 (GE-6),-0.01204105608152245,-139.00480903661503,35797840.17218075,42175977.17218075
