,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,NOAA 15,10.494911686233499,-59.393377198028276,800960.5549445841,7179097.554944584
1,DMSP 5D-3 F15 (USA 147),-33.910691947808765,78.78154532997777,844509.3106824919,7222646.310682492
2,METEOSAT-8 (MSG-1),6.625902235738171,41.61932548648697,35784845.57092742,42162982.57092742
3,DMSP 5D-3 F16 (USA 172),42.7307210609458,67.32122027435696,851870.2941944449,7230007.294194445
4,NOAA 18,0.23521914985826287,-23.969166004939094,845380.5213496934,7223517.521349694
5,METEOSAT-9 (MSG-2),4.78647019986336,3.279044486888176,35781809.029454686,42159946.029454686
6,FORMOSAT-3 FM6,-71.28756917852785,139.44621468839435,851347.617447284,7229484.617447284
7,FORMOSAT-3 FM1,49.029048247545795,-79.21852262533437,811913.2141875263,7190050.214187526
8,FORMOSAT-3 FM5,-53.79490606173538,142.8647597754878,839624.7261787796,7217761.726178779
9,FORMOSAT-3 FM3,71.04293133917069,150.16337670147266,743718.0759026059,7121855.075902605
10,FORMOSAT-3 FM4,-64.2589367689645,155.87571983750547,769409.9371450127,7147546.937145012
11,FORMOSAT-3 FM2,72.09004714646306,-0.22604734350438765,805117.9150166874,7183254.9150166875
12,EWS-G1 (GOES 13),0.030072748220731558,61.31213799946517,35761401.846165955,42139538.846165955
13,METOP-A,-54.46251848644823,140.12416964482242,842534.429383026,7220671.429383026
14,DMSP 5D-3 F17 (USA 191),-5.857684823131148,107.53355659562801,848345.5026584328,7226482.502658432
15,FENGYUN 3A,1.023441120491939,62.08620814031246,837988.6138287743,7216125.613828775
16,FENGYUN 2E,2.785788320582963,86.53885634170543,35797618.59453988,42175755.59453988
17,NOAA 19,-18.116015430341868,115.91374324514966,848094.9679473956,7226231.9679473955
18,GOES 14,-0.4408112275230842,-104.24539767393986,35835980.03138509,42214117.03138509
19,METEOR-M 1,-64.10944330806068,-130.46700263566578,844615.8247125045,7222752.824712505
20,DMSP 5D-3 F18 (USA 210),56.936401701128695,-92.7533255881707,862703.1821561467,7240840.1821561465
21,GOES 15,-0.2374557147151682,-128.07392536350025,35777708.65462808,42155845.65462808
22,COMS 1,0.11185484685553446,128.16323296463398,35787035.643011235,42165172.643011235
23,FENGYUN 3B,6.387508548468098,84.9935096267069,852739.0090895019,7230876.009089502
24,SUOMI NPP,81.18303517144301,-51.36442778485732,839384.968128328,7217521.968128328
25,FENGYUN 2F,1.125233708688078,111.84324858633661,35784309.69554395,42162446.69554395
26,METEOSAT-10 (MSG-3),1.0518393936916757,9.391878228075207,35778564.66406494,42156701.66406494
27,METOP-B,34.53791748398439,144.33553650547378,825245.234754257,7203382.234754257
28,FENGYUN 3C,-17.800635192665645,-53.4344006193182,847790.0090368008,7225927.009036801
29,METEOR-M 2,-81.34192469264255,-166.07143673463148,854086.1240328904,7232223.12403289
30,HIMAWARI-8,0.00014214354371510957,140.6677307083404,35786388.481454276,42164525.481454276
31,FENGYUN 2G,0.8152900185815269,99.76858815235296,35789148.943227366,42167285.943227366
32,METEOSAT-11 (MSG-4),0.013632112929731906,-0.2835626257757071,35782764.11393172,42160901.11393172
33,ELEKTRO-L 2,0.8395047987831624,-14.575483744431988,35778741.64569003,42156878.64569003
34,HIMAWARI-9,-0.012503987320687351,140.7492526341936,35785789.25150906,42163926.25150906
35,GOES 16,-0.09395112371815834,-75.23946382614398,35789237.542025805,42167374.542025805
36,FENGYUN 4A,0.06195993089140104,104.61525761775766,35786978.065000646,42165115.065000646
37,CYGFM05,-5.972086621588606,-142.20877399690121,530979.1291920764,6909116.129192077
38,CYGFM04,-12.551933983044679,55.759800951694345,511826.72097518435,6889963.720975185
39,CYGFM02,-29.22695455060311,92.05311817703708,521684.74500539637,6899821.745005396
40,CYGFM01,-23.74711149249437,86.91841056646733,520761.76506625215,6898898.765066252
41,CYGFM08,2.185763169992813,39.08428042909992,508452.77076978557,6886589.770769785
42,CYGFM06,-9.492624263504007,-155.74134400889292,528817.5595932095,6906954.55959321
43,CYGFM07,34.57017101461009,-41.715299756622834,517950.0549861152,6896087.054986116
44,CYGFM03,32.036563279764486,-25.596164661320913,515422.1123616377,6893559.112361638
45,FENGYUN 3D,18.368189382763198,-144.5711557932998,829424.5764559892,7207561.576455989
46,NOAA 20,-81.21564656132061,127.87750557527792,855771.8619339281,7233908.861933928
47,GOES 17,0.03647925344055101,-137.19949043018167,35787408.12197192,42165545.12197192
48,FENGYUN 2H,0.38135247818719653,79.3459731135817,35778266.03058243,42156403.03058243
49,METOP-C,-26.53226087282638,-33.869273236444094,828888.2500821853,7207025.2500821855
50,GEO-KOMPSAT-2A,0.008927521054816829,128.27059276654393,35781523.137721,42159660.137721
51,METEOR-M2 2,-79.78379575432433,107.41533119188126,842683.535604286,7220820.535604286
