,Name,Latitude,Longitude,Elevation
0,GSAT0101 (PRN E11),16.969580629282234,-165.47045878012833,29593121.099462505
1,GSAT0102 (PRN E12),50.32321946117571,-125.09776484359507,29604187.497616462
2,GSAT0103 (PRN E19),-3.8997017362054667,-59.229418036586274,29599623.909245346
3,GSAT0104 (PRN E20),10.851362122537111,-48.823417262046675,29599964.150930863
4,GSAT0201 (PRN E18),-49.575895349095006,33.375481493742924,31621641.481396962
5,GSAT0202 (PRN E14),41.87086755558228,-175.44627057282622,24835877.02723309
6,GSAT0203 (PRN E26),21.253707420310256,-11.69504411447799,29597673.428372726
7,GSAT0204 (PRN E22),-0.7322294758214158,-177.34755917034644,29607189.40325713
8,GSAT0205 (PRN E24),30.923247782783093,-140.13085732823194,29610200.54786373
9,GSAT0206 (PRN E30),5.719994150313074,67.70670665906265,29596374.465814985
10,GSAT0209 (PRN E09),-53.776265324260194,-164.77615183495124,29611759.80999621
11,GSAT0208 (PRN E08),42.40951905030029,83.66264908225634,29617261.596382562
12,GSAT0211 (PRN E02),39.982571444462984,98.13033577079177,29608847.993721157
13,GSAT0210 (PRN E01),-40.17375065071414,-81.60032494181544,29603611.832343027
14,GSAT0207 (PRN E07),53.57383134734272,16.43907629134935,29618794.960745484
15,GSAT0212 (PRN E03),8.218119466458377,117.6031370042387,29610101.29307518
16,GSAT0213 (PRN E04),-41.69094253701221,-95.48330564572754,29603414.062104497
17,GSAT0214 (PRN E05),-28.166011823297886,145.65358475663123,29605698.043942917
18,GSAT0215 (PRN E21),-55.778102909800104,-19.139031256357633,29610024.618045956
19,GSAT0216 (PRN E25),55.72556592140655,161.70338975147138,29624096.693407897
20,GSAT0217 (PRN E27),-32.58629993875578,38.004524652762136,29600281.71319965
21,GSAT0218 (PRN E31),-3.654742215920294,-113.98145066188424,29597895.674006417
22,GSAT0221 (PRN E15),-50.43383674945675,54.504504040254695,29613461.184735503
23,GSAT0222 (PRN E33),51.20833416546806,-50.858567220675944,29611075.38620076
24,GSAT0219 (PRN E36),-19.65455457549364,169.4791300584014,29603298.956646543
25,GSAT0220 (PRN E13),-17.910441920091436,14.947101606078865,29603618.1586852
