,Name,Latitude,Longitude,Elevation
0,ISS (ZARYA),14.25119368469488,-75.7658485981805,420566.3759126386
1,KESTREL EYE IIM (KE2M),42.77700825446285,-124.51378951744219,244397.59668629066
2,AEROCUBE 12A,-46.991789513548035,29.36059790059141,482395.1970513126
3,AEROCUBE 12B,13.998675663287578,100.25011877137338,467275.49207266193
4,LEMUR-2-VU,0.640384513303391,-102.14973955856125,467947.3855541849
5,LEMUR-2-ALEXANDER,-41.21271939493683,33.79100113924514,472197.5449381156
6,LEMUR-2-YUASA,-11.58797373446361,69.46632482906402,461052.7840040537
7,LEMUR-2-TOMHENDERSON,-14.677843634243889,-88.31300838250331,472218.01126306405
8,1998-067PN,23.686254606733446,-38.739814204069305,297476.62112450786
9,ISS DEB (SEDA-AP),-51.24610032365158,138.52873717304513,397458.4631592718
10,UNITE,34.72011376326322,-28.6683615010994,321246.893424826
11,ISS DEB,-28.300112677621723,85.15615493153409,397633.3858584678
12,ISS DEB,-29.625265652140097,85.80342363084137,396601.1590976297
13,RAAVANA-1,-41.48890445434192,68.60795509489171,330226.4442599897
14,UGUISU,44.46293205574888,-25.222014540963634,323712.47506579594
15,NEPALISAT-1,-41.22020180662716,67.98332731069404,331179.43133655563
16,SPOOQY-1,-51.32405286932208,105.44299718830122,339903.8122430185
17,RED-EYE 1 (PINOT),39.47085536962611,-78.43832436518899,386094.5036604042
18,KRAKSAT,23.21027551464965,24.708362635618716,359184.704025291
19,VCC A,36.532510990587994,-114.080219025419,331179.9893877267
20,ENTRYSAT,-22.490735743167452,173.65719062716113,237360.66080922933
21,VCC B,48.097451049319226,-32.0759821801554,330465.21017849783
22,RWASAT-1,16.61849661449119,-99.99165983155915,384681.01648728363
23,AQT-D,-42.700083642878624,113.39366372389956,401006.38006826356
24,NARSSCUBE-1,-51.32765434892979,134.95467537806627,379119.2062905149
25,STPSAT-4,50.31659814525182,-25.63562965258807,404476.74290278414
26,HARP,-35.26235514200894,-140.39106069482682,401211.9777834565
27,1998-067RA,-9.832624246089058,82.93137246097515,393189.2989324749
28,PHOENIX,-48.98090494345318,-167.6598298165299,414776.0166528423
29,1998-067RC,1.3646216136404468,-110.19288139879019,377624.9620889302
30,CRYOCUBE,45.807275885755296,12.169975729874285,365676.9809676719
31,AZTECHSAT-1,-23.69078383398479,-137.4572796785406,371663.6910283621
32,RADSAT-U,7.355655698558944,68.63132105168087,386175.72399425023
33,QARMAN,26.056883326802296,-87.95568225918849,375854.83718105225
34,SORTIE,31.09842157166401,52.154978917962076,397954.5204631783
35,ICS-EF (ISS DEB),-21.724243700272893,-112.24018454426287,416630.19386214385
36,G-SAT,-44.63103375606862,-154.58475773043347,407077.45260356204
37,QUETZAL-1,32.342885199230984,44.585121306477554,383493.6916511805
38,RED-EYE 2 (MERLOT),51.439629064696234,4.225510698561889,409774.38425847096
39,RED-EYE 3 (CABERNET),51.60373021621594,1.8194125909725596,409624.1614480607
40,DEMI,-39.638115602750474,117.98397282773595,401189.8314732376
41,SPOC,51.57971157813848,-12.046745234494479,407962.0275592332
42,BOBCAT-1,-12.168348676962056,-106.67527999352001,398078.807758635
43,NEUTRON-1,-18.9046349218616,-110.300634343237,406333.99961495533
44,1998-067RU,-23.528554998455437,98.86823543422676,386714.1262060323
45,LEMUR-2-BAXTER-OLIVER,-29.651592461551534,-128.71901932731765,385140.4538966356
46,LEMUR-2-DJARA,-14.958348502643306,91.03907763749199,384368.44122329913
47,DESCENT,-39.910164685682474,-135.77493540985384,413749.4821519532
48,ISS DEB,-48.83247719034655,-151.99036896898573,432834.2404261325
49,RSP-01,51.14765108781505,12.635217781023364,415208.5132357099
50,TAUSAT-1,9.606381167399753,-82.60479300194822,408818.03951267083
51,TSURU,27.35902512045044,-65.52633209331076,412299.5909459683
52,STARS-EC,47.50599845039686,31.074340383784744,416149.9872459175
53,MMSATS-1,36.32085337562052,-52.77063002680945,419670.91350698477
54,SOYUZ-MS 18,14.249027251946524,-75.76807083010723,420594.17121985654
55,CREW DRAGON 2,14.249027251946524,-75.76807083010723,420594.17121985654
56,TIANHE,19.963743210723653,-179.9859143620375,377756.1767000814
57,TIANZHOU-2,20.001211286000025,-179.93501192247692,377561.68718055106
58,RAMSAT,-34.066733092630095,124.42795704707575,427077.246287194
59,SOAR,-20.321490573340242,-104.89813639045899,416148.73766664235
60,SHENZHOU-12,20.001211286000025,-179.93501192247692,377561.68718055106
61,BD-28,-35.13239410417788,125.90103570154203,427927.9798299764
62,MIR-SAT 1,-26.053459666890802,114.929456718165,423034.2355659604
63,PROGRESS-MS 17,14.249027251946524,-75.76807083010723,420594.17121985654
64,ISS (NAUKA),14.249027251946524,-75.76807083010723,420594.17121985654
65,SL-25 R/B,31.691996083497592,-64.46691456036089,185550.16743079404
