,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,IRIDIUM 33,62.56022676535701,58.25883968161094,791632.5476753478,7169769.547675348
1,IRIDIUM 33 DEB,64.97168635698398,-6.280754357225038,526610.923108353,6904747.923108353
2,IRIDIUM 33 DEB,37.64140107143283,58.804778405545164,774822.0727466164,7152959.072746617
3,IRIDIUM 33 DEB,-53.86551578584567,-130.6647081501543,788395.5325681635,7166532.532568163
4,IRIDIUM 33 DEB,86.31320277448145,-27.966048389186934,790764.6805964893,7168901.680596489
5,IRIDIUM 33 DEB,-34.92969232936501,-135.33299314017165,772592.7102924178,7150729.710292418
6,IRIDIUM 33 DEB,-34.36971284199793,99.4402112806314,737883.9988190853,7116020.998819085
7,IRIDIUM 33 DEB,62.2421654983495,32.95118032541738,786827.8882028079,7164964.888202808
8,IRIDIUM 33 DEB,42.43367510235143,-164.90352817732415,761856.6306988393,7139993.630698839
9,IRIDIUM 33 DEB,-43.65442444148122,-85.20166869406704,689906.8355806324,7068043.835580632
10,IRIDIUM 33 DEB,-11.42474486052593,-129.09963200662148,628200.9858112328,7006337.985811233
11,IRIDIUM 33 DEB,-85.6019740655929,-135.5115652382136,485004.3041829487,6863141.304182949
12,IRIDIUM 33 DEB,37.724476182708685,35.52783706160969,789493.0933790455,7167630.093379046
13,IRIDIUM 33 DEB,18.77930269749578,43.173472110942754,743486.2064619819,7121623.206461982
14,IRIDIUM 33 DEB,-44.683787500976294,55.761525727055094,795489.5009839941,7173626.500983994
15,IRIDIUM 33 DEB,-27.619480357824873,153.40758873195205,732769.5235328267,7110906.523532826
16,IRIDIUM 33 DEB,-39.17424255457546,167.274744158267,655117.3762218653,7033254.376221865
17,IRIDIUM 33 DEB,-20.68651848116268,-92.67002950562619,946977.006375147,7325114.006375147
18,IRIDIUM 33 DEB,-0.04953837545297267,29.741474308871563,690977.432812446,7069114.432812446
19,IRIDIUM 33 DEB,-59.42252811995257,-120.17981669040228,796156.0133271527,7174293.0133271525
20,IRIDIUM 33 DEB,-48.804655615726276,66.92304296997048,805173.0201796861,7183310.020179686
21,IRIDIUM 33 DEB,81.09362057251856,-14.602309890794695,692120.3450524254,7070257.345052426
22,IRIDIUM 33 DEB,-70.17922158823619,51.216440280260436,775266.4567434514,7153403.456743452
23,IRIDIUM 33 DEB,-56.13163422017399,169.71550612330566,665344.8977708428,7043481.897770843
24,IRIDIUM 33 DEB,-55.9451701673145,51.702197845319475,608171.8107888703,6986308.81078887
25,IRIDIUM 33 DEB,-17.05215175928015,45.34870828502041,788574.9565886332,7166711.956588633
26,IRIDIUM 33 DEB,-73.08357994401152,-11.146205280360018,654013.5688012931,7032150.568801293
27,IRIDIUM 33 DEB,74.24125366233469,-60.079962067226525,843953.9980092823,7222090.998009282
28,IRIDIUM 33 DEB,23.150644749037905,-143.71063790594454,731256.9876819715,7109393.987681972
29,IRIDIUM 33 DEB,-62.199906298766216,-121.6809716039189,805690.109143202,7183827.109143202
30,IRIDIUM 33 DEB,-75.38422534194356,31.69645910978998,806852.8340376042,7184989.834037604
31,IRIDIUM 33 DEB,64.90342822876725,26.1315916906597,775839.9042663521,7153976.904266352
32,IRIDIUM 33 DEB,-4.409405441840108,-163.97416614238907,666723.8480648018,7044860.848064802
33,IRIDIUM 33 DEB,-33.33257187053748,7.373456865877134,713030.3693566906,7091167.369356691
34,IRIDIUM 33 DEB,45.3653178373623,58.49930382559499,781404.6263959284,7159541.626395929
35,IRIDIUM 33 DEB,81.41782231606092,2.063778219255126,692109.0289613976,7070246.028961398
36,IRIDIUM 33 DEB,-27.15239113863602,-171.58528904121636,633465.2280614806,7011602.22806148
37,IRIDIUM 33 DEB,-56.0380902198234,27.370539472436256,648247.49781988,7026384.49781988
38,IRIDIUM 33 DEB,-61.279054641003114,81.68087095205314,777813.1793068093,7155950.179306809
39,IRIDIUM 33 DEB,-55.45953139121768,-17.426641128730466,760037.192596146,7138174.192596146
40,IRIDIUM 33 DEB,53.043186673841895,135.2679800993836,656090.6916023574,7034227.691602358
41,IRIDIUM 33 DEB,34.25145960981688,-5.564576273038037,683628.5976655515,7061765.597665551
42,IRIDIUM 33 DEB,23.53320319092073,-154.0950093064997,718420.9176463743,7096557.917646375
43,IRIDIUM 33 DEB,-37.149512804322384,55.39440014355656,773966.8396163275,7152103.839616328
44,IRIDIUM 33 DEB,-25.727408204889315,13.41122906620455,694861.897043953,7072998.897043953
45,IRIDIUM 33 DEB,-41.51517763947083,-150.8273062557906,769957.8329226436,7148094.832922644
46,IRIDIUM 33 DEB,-28.639968291985205,-66.85357109720881,621109.0631709816,6999246.063170982
47,IRIDIUM 33 DEB,-82.29879175414743,91.1577901992557,773914.1249602501,7152051.12496025
48,IRIDIUM 33 DEB,-50.191844005610065,39.3079479145529,747683.2300106924,7125820.230010692
