,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,NOAA 15,-65.09636107884924,-129.63690107963916,833920.7064717688,7212057.706471769
1,DMSP 5D-3 F15 (USA 147),3.5764489119772227,22.60767242268508,832604.9593024943,7210741.959302494
2,METEOSAT-8 (MSG-1),1.515595403559435,41.5321033138307,35784932.027418,42163069.027418
3,DMSP 5D-3 F16 (USA 172),67.87264168719898,3.4400297752317592,854630.2967086097,7232767.29670861
4,NOAA 18,-21.78462440453783,-77.13845088126912,854687.0333992062,7232824.033399207
5,METEOSAT-9 (MSG-2),4.870587823296592,3.494617269349979,35782939.92745705,42161076.92745705
6,FORMOSAT-3 FM6,4.759989331076727,160.81006926644713,777972.2215203526,7156109.221520353
7,FORMOSAT-3 FM1,-34.71751457789825,-97.34241037546511,837877.4160792042,7216014.4160792045
8,FORMOSAT-3 FM5,-31.05094987610372,-127.49353953487854,800245.8461478956,7178382.846147896
9,FORMOSAT-3 FM3,-46.9098427268577,-33.07492206541887,680373.3167077167,7058510.316707716
10,FORMOSAT-3 FM4,18.745721571551787,151.25407963160134,802694.969546538,7180831.969546538
11,FORMOSAT-3 FM2,0.9060787764119891,40.117433634209014,826241.1426766003,7204378.1426766
12,EWS-G1 (GOES 13),0.05184296122140348,61.37610713351689,35768633.63177952,42146770.63177952
13,METOP-A,3.149610276434068,78.11438037250524,823041.4888224088,7201178.488822409
14,DMSP 5D-3 F17 (USA 191),21.89795205890312,53.53916635684667,843253.8966105473,7221390.896610547
15,FENGYUN 3A,47.26783711835015,3.4459106514739313,842401.7263866381,7220538.726386638
16,FENGYUN 2E,-1.6594768088459038,86.3030160060435,35797832.802361086,42175969.802361086
17,NOAA 19,3.381107705079296,62.85212716333227,843674.9378682191,7221811.937868219
18,GOES 14,-0.22022472979308644,-104.35606717575955,35821774.81045581,42199911.81045581
19,METEOR-M 1,-52.61169249047988,28.950836448052556,839253.7328131082,7217390.732813109
20,DMSP 5D-3 F18 (USA 210),32.323898186693256,-150.29548781335757,854498.723649897,7232635.723649897
21,GOES 15,-0.23086261314412385,-128.05957387404425,35769578.533856995,42147715.533856995
22,COMS 1,-0.19563749997588153,128.16117553545078,35788671.602751076,42166808.602751076
23,FENGYUN 3B,41.81008385187626,28.329538665519284,851162.8766437251,7229299.876643725
24,SUOMI NPP,40.589155973481894,166.91257531044613,831971.4755020201,7210108.47550202
25,FENGYUN 2F,-1.4867757980307126,111.8199916839841,35788026.94890853,42166163.94890853
26,METEOSAT-10 (MSG-3),0.17390718287774173,9.426581539865435,35780275.90537666,42158412.90537666
27,METOP-B,80.73719444747165,-10.029466548870014,833366.6344855502,7211503.63448555
28,FENGYUN 3C,-52.53055446838508,-111.45950504866803,866406.9698681623,7244543.969868163
29,METEOR-M 2,-32.796952196918255,73.54721506797945,839864.1798304771,7218001.179830477
30,HIMAWARI-8,0.004703637117606749,140.66226973447422,35789074.542583816,42167211.542583816
31,FENGYUN 2G,-0.1401132643144342,99.76863976419486,35785057.20410521,42163194.20410521
32,METEOSAT-11 (MSG-4),0.18726264681268734,-0.2644791638972241,35783366.10763207,42161503.10763207
33,ELEKTRO-L 2,2.1336858289874443,-14.544250271054068,35774809.82567912,42152946.82567912
34,HIMAWARI-9,-0.013881603458331625,140.75658277472488,35786174.219309084,42164311.219309084
35,GOES 16,0.011084940095231222,-75.24853242887738,35785262.47112377,42163399.47112377
36,FENGYUN 4A,-0.03690121465667577,104.6313064326721,35789793.66872306,42167930.66872306
37,CYGFM05,34.93189815216869,-107.90356018181765,521348.4212743823,6899485.421274383
38,CYGFM04,-30.08201183639913,104.03618725956532,529567.9694497567,6907704.969449757
39,CYGFM02,-14.032309167337141,140.75092594709153,529597.715137959,6907734.7151379585
40,CYGFM01,-22.415687728298913,134.4985596476592,534347.2400403876,6912484.240040388
41,CYGFM08,-35.06740035600709,77.27039549430414,528777.2034670894,6906914.20346709
42,CYGFM06,34.55512741269049,-121.31170012796034,521873.4843582159,6900010.484358216
43,CYGFM07,-9.573525643501505,-6.93859243954849,510885.13927270076,6889022.139272701
44,CYGFM03,-16.821980488891555,5.030020163312674,513820.7489153139,6891957.748915314
45,FENGYUN 3D,-32.56884751602654,157.3248729258377,839316.0210924286,7217453.021092429
46,NOAA 20,-40.64887877856944,-13.21455818318163,842871.629178269,7221008.629178269
47,GOES 17,0.024507738840262232,-137.20546549482313,35787282.2636419,42165419.2636419
48,FENGYUN 2H,0.1938007484245402,79.34690464186318,35793607.509256154,42171744.509256154
49,METOP-C,-80.0750080155909,-139.31130324808473,847827.4998647396,7225964.499864739
50,GEO-KOMPSAT-2A,0.03154108124156913,128.2766306900036,35784530.981272295,42162667.981272295
51,METEOR-M2 2,-17.13427578890669,3.1987241130153845,820119.8679831538,7198256.867983154
