,Name,Latitude,Longitude, Elevation , Earth Radius + Elevation 
12,EWS-G1 (GOES 13),0.051842961,61.37610713,35768633.63,42146770.63
21,GOES 15,-0.230862613,-128.0595739,35769578.53,42147715.53
33,ELEKTRO-L 2,2.133685829,-14.54425027,35774809.83,42152946.83
26,METEOSAT-10 (MSG-3),0.173907183,9.42658154,35780275.91,42158412.91
5,METEOSAT-9 (MSG-2),4.870587823,3.494617269,35782939.93,42161076.93
32,METEOSAT-11 (MSG-4),0.187262647,-0.264479164,35783366.11,42161503.11
50,GEO-KOMPSAT-2A,0.031541081,128.2766307,35784530.98,42162667.98
2,METEOSAT-8 (MSG-1),1.515595404,41.53210331,35784932.03,42163069.03
31,FENGYUN 2G,-0.140113264,99.76863976,35785057.2,42163194.2
35,GOES 16,0.01108494,-75.24853243,35785262.47,42163399.47
34,HIMAWARI-9,-0.013881603,140.7565828,35786174.22,42164311.22
47,GOES 17,0.024507739,-137.2054655,35787282.26,42165419.26
25,FENGYUN 2F,-1.486775798,111.8199917,35788026.95,42166163.95
22,COMS 1,-0.1956375,128.1611755,35788671.6,42166808.6
30,HIMAWARI-8,0.004703637,140.6622697,35789074.54,42167211.54
36,FENGYUN 4A,-0.036901215,104.6313064,35789793.67,42167930.67
48,FENGYUN 2H,0.193800748,79.34690464,35793607.51,42171744.51
16,FENGYUN 2E,-1.659476809,86.30301601,35797832.8,42175969.8
18,GOES 14,-0.22022473,-104.3560672,35821774.81,42199911.81
