,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
43,CYGFM07,-9.573525644,-6.93859244,510885.1393,6889022.139
44,CYGFM03,-16.82198049,5.030020163,513820.7489,6891957.749
37,CYGFM05,34.93189815,-107.9035602,521348.4213,6899485.421
42,CYGFM06,34.55512741,-121.3117001,521873.4844,6900010.484
41,CYGFM08,-35.06740036,77.27039549,528777.2035,6906914.203
38,CYGFM04,-30.08201184,104.0361873,529567.9694,6907704.969
39,CYGFM02,-14.03230917,140.7509259,529597.7151,6907734.715
40,CYGFM01,-22.41568773,134.4985596,534347.24,6912484.24
9,FORMOSAT-3 FM3,-46.90984273,-33.07492207,680373.3167,7058510.317
6,FORMOSAT-3 FM6,4.759989331,160.8100693,777972.2215,7156109.222
8,FORMOSAT-3 FM5,-31.05094988,-127.4935395,800245.8461,7178382.846
10,FORMOSAT-3 FM4,18.74572157,151.2540796,802694.9695,7180831.97
51,METEOR-M2 2,-17.13427579,3.198724113,820119.868,7198256.868
13,METOP-A,3.149610276,78.11438037,823041.4888,7201178.489
11,FORMOSAT-3 FM2,0.906078776,40.11743363,826241.1427,7204378.143
24,SUOMI NPP,40.58915597,166.9125753,831971.4755,7210108.476
1,DMSP 5D-3 F15 (USA 147),3.576448912,22.60767242,832604.9593,7210741.959
27,METOP-B,80.73719445,-10.02946655,833366.6345,7211503.634
0,NOAA 15,-65.09636108,-129.6369011,833920.7065,7212057.706
7,FORMOSAT-3 FM1,-34.71751458,-97.34241038,837877.4161,7216014.416
19,METEOR-M 1,-52.61169249,28.95083645,839253.7328,7217390.733
45,FENGYUN 3D,-32.56884752,157.3248729,839316.0211,7217453.021
29,METEOR-M 2,-32.7969522,73.54721507,839864.1798,7218001.18
15,FENGYUN 3A,47.26783712,3.445910651,842401.7264,7220538.726
46,NOAA 20,-40.64887878,-13.21455818,842871.6292,7221008.629
14,DMSP 5D-3 F17 (USA 191),21.89795206,53.53916636,843253.8966,7221390.897
17,NOAA 19,3.381107705,62.85212716,843674.9379,7221811.938
49,METOP-C,-80.07500802,-139.3113032,847827.4999,7225964.5
23,FENGYUN 3B,41.81008385,28.32953867,851162.8766,7229299.877
20,DMSP 5D-3 F18 (USA 210),32.32389819,-150.2954878,854498.7236,7232635.724
3,DMSP 5D-3 F16 (USA 172),67.87264169,3.440029775,854630.2967,7232767.297
4,NOAA 18,-21.7846244,-77.13845088,854687.0334,7232824.033
28,FENGYUN 3C,-52.53055447,-111.459505,866406.9699,7244543.97
